name,species,light,water,humidity,notes
Plant 0,Species 0,Bright,Weekly,Medium,Note 0
Plant 1,Species 1,Bright,Weekly,Medium,Note 1
Plant 2,Species 2,Bright,Weekly,Medium,Note 2
Plant 3,Species 3,Bright,Weekly,Medium,Note 3
Plant 4,Species 4,Bright,Weekly,Medium,Note 4
Plant 5,Species 5,Bright,Weekly,Medium,Note 5
Plant 6,Species 6,Bright,Weekly,Medium,Note 6
Plant 7,Species 7,Bright,Weekly,Medium,Note 7
Plant 8,Species 8,Bright,Weekly,Medium,Note 8
Plant 9,Species 9,Bright,Weekly,Medium,Note 9
Plant 10,Species 10,Bright,Weekly,Medium,Note 10
Plant 11,Species 11,Bright,Weekly,Medium,Note 11
Plant 12,Species 12,Bright,Weekly,Medium,Note 12
Plant 13,Species 13,Bright,Weekly,Medium,Note 13
Plant 14,Species 14,Bright,Weekly,Medium,Note 14
Plant 15,Species 15,Bright,Weekly,Medium,Note 15
Plant 16,Species 16,Bright,Weekly,Medium,Note 16
Plant 17,Species 17,Bright,Weekly,Medium,Note 17
Plant 18,Species 18,Bright,Weekly,Medium,Note 18
Plant 19,Species 19,Bright,Weekly,Medium,Note 19
Plant 20,Species 20,Bright,Weekly,Medium,Note 20
Plant 21,Species 21,Bright,Weekly,Medium,Note 21
Plant 22,Species 22,Bright,Weekly,Medium,Note 22
Plant 23,Species 23,Bright,Weekly,Medium,Note 23
Plant 24,Species 24,Bright,Weekly,Medium,Note 24
Plant 25,Species 25,Bright,Weekly,Medium,Note 25
Plant 26,Species 26,Bright,Weekly,Medium,Note 26
Plant 27,Species 27,Bright,Weekly,Medium,Note 27
Plant 28,Species 28,Bright,Weekly,Medium,Note 28
Plant 29,Species 29,Bright,Weekly,Medium,Note 29
Plant 30,Species 30,Bright,Weekly,Medium,Note 30
Plant 31,Species 31,Bright,Weekly,Medium,Note 31
Plant 32,Species 32,Bright,Weekly,Medium,Note 32
Plant 33,Species 33,Bright,Weekly,Medium,Note 33
Plant 34,Species 34,Bright,Weekly,Medium,Note 34
